0 31
6 17.73 32.91
0 20.55 31.0
1 15.91 26.82
2 26.88 34.37
3 27.2 34.27
4 23.75 27.07
5 20.74 24.52
6 21.6 27.3
0 27.52 33.17
1 27.28 28.84
2 17.53 25.17
3 22.31 34.42
4 16.32 29.79
5 21.47 27.55
6 26.23 28.12
0 20.83 31.93
1 27.75 34.06
2 20.94 28.03
3 19.55 27.86
4 21.61 32.25
8 30
5 11.7 19.24
6 13.88 19.4
0 9.22 14.18
1 7.78 19.16
2 13.59 18.77
3 12.44 15.02
4 7.9 12.09
5 10.74 14.81
6 5.15 12.15
0 10.37 12.01
1 11.12 13.29
2 14.1 19.66
3 12.08 15.64
4 8.89 17.59
5 11.5 19.04
6 14.1 15.81
0 10.95 12.53
1 12.48 17.89
2 8.93 15.14
3 7.5 12.76
4 8.53 11.43
5 10.76 15.05
6 13.58 15.73
0 13.86 15.48
1 11.81 17.62
2 14.01 18.68
3 10.24 13.14
4 5.49 12.69
5 8.33 16.56
6 7.6 11.11
9 31
0 14.99 17.62
1 13.75 18.69
2 5.58 18.6
3 11.72 13.14
4 9.78 17.54
5 12.83 15.39
6 6.44 16.03
0 9.19 19.04
1 9.95 17.2
2 10.05 12.28
3 7.9 11.94
4 12.36 14.74
5 8.2 10.69
6 13.8 16.41
0 9.34 18.2
1 13.47 17.28
2 9.57 12.84
3 8.19 17.16
4 5.68 17.08
5 11.5 18.26
6 5.27 19.27
0 9.16 19.72
1 8.05 18.01
2 12.63 18.03
3 14.99 17.56
4 13.49 19.67
5 6.22 12.74
6 14.23 18.56
0 11.3 15.19
1 12.78 14.61
2 10.73 11.93
10 30
3 13.48 14.66
4 7.58 12.55
5 13.49 15.73
6 8.71 15.13
0 5.06 9.95
1 6.98 18.17
2 11.11 17.34
3 5.56 9.59
4 14.68 17.15
5 6.25 9.53
6 11.75 19.77
0 8.88 18.18
1 13.47 15.88
2 12.75 17.07
3 14.6 19.83
4 11.55 14.08
5 12.22 18.66
6 13.76 16.06
0 13.2 16.86
1 13.6 17.79
2 7.93 11.94
3 9.86 14.44
4 9.69 14.97
5 13.12 14.37
6 13.71 16.74
0 10.34 13.27
1 7.91 14.93
2 10.07 11.77
3 11.46 14.46
4 7.08 10.17
11 31
5 -5.26 0.17
6 -1.03 2.87
0 -0.3 3.96
1 -1.23 3.01
2 -6.04 2.16
3 -0.8 0.34
4 -2.56 2.43
5 -2.41 -1.07
6 -1.09 0.15
0 -5.38 3.05
1 -4.76 3.32
2 -0.84 2.09
3 -7.36 -0.87
4 -7.5 3.42
5 -9.46 4.32
6 -7.05 0.14
0 -5.9 -3.43
1 -3.07 -0.04
2 -9.34 -6.12
3 -1.06 3.51
4 -1.19 0.25
5 -2.56 3.55
6 -0.09 2.6
0 -0.68 0.51
1 -9.76 -7.35
2 -9.57 -4.68
3 -2.74 2.59
4 -5.68 4.17
5 -3.22 2.73
6 -9.38 3.71
0 -3.75 4.54
1
